field,value,code
FxnGroup,Crust,C
FxnGroup,Fern,F
FxnGroup,Grass,G
FxnGroup,Herbaceous,H
FxnGroup,Non-Vascular,N
FxnGroup,Shrub,S
FxnGroup,Tree,T
FxnGroup,Sub-shrub,U
Nativity,Native,n
Nativity,Nonnative,e
